NUM_PEDIDO;ABRIDOR_SACA_ROLHA;PORTA_LAPIS_COM_PEZINHO;REGUA_DE_20_CM;PENTE_PEQUENO;PENTE_JACARE;CANETA_SPECIAL_GOLD;CANETA_STAR_I;CANETA_SPECIAL;CANETA_SPECIAL_CITRICA;CANETA_POP;CHAVEIRO_SUPER_LENTE;CHAVEIRO_VEGAS;CHAVEIRO_BOMBA_C_LOGO;CHAVEIRO_CADEADO;CHAVEIRO_NINJA;ABRIDOR_COM_FURO;BOTTON_CORACAO;BOTTON_GLOBO;CHAVEIRO_DOLLAR;PAQUIMETRO;PORTA_MOEDAS;CANETA_SPECIAL_JUNIOR;CHAVEIRO_OUT_DOOR;CANETA_CLASSIC_I;CANETA_STILL;CANETA_VERSATIL_C_CORDAO;RELOGIO_DLUXO;BOTTON_ALFINETE;POTA_LAPIS_COFRE;PORTA_LAPIS_SEM_PE;YO_YO;REGUA_DE_30_CM;REGUA_FERRAGISTA_20_CM;REGUA_FERRAGISTA_15_CM;CANETA_STAR_II;MAQUINA_VARETAR;PRISILHA;ARGOLAS;MOLA_PARA_CHAVEIRO;CHAVEIRO_SUPER_FLASH;RODINHA_PEQ;CHAVEIRO_OITO;CANETA_DESMONTADA;RODINHAS_GRANDES;CHAVEIRO_DESMONTADO;CHAVEIRO_BOMBA_S_LOGO;VISEIRA_C_ENCAIXE;LIXA_DE_UNHA;MAQUINA_GRAVAR;MISTURADOR_DE_DRINKS;CANETA_CLASSIC_II;ACES;CANETA_VERSATIL_C_HASTE;CANETA_VERSATIL_OUT_DOOR;ABRIDOR_OUT_DOOR;AGENDINHA;GANCHINHOS;MOSTRUARIO_DE_BRINDES;CANETA_VIRA_VOLTA;CARGA_P_CANETA;AGENDA_DE_MESA;PORTA_TITULO
767;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
768;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
769;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F
770;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F
771;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
772;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
773;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F
774;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
775;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F
776;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;V;F;F;F;F;F;F;F;F;F
777;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;V;F;F
778;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
779;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
780;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
781;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F
782;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
783;F;V;F;F;F;F;F;F;F;F;V;F;V;F;V;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
784;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F
785;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
786;F;V;F;F;F;F;F;V;V;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
787;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
788;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
789;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
790;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
791;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
792;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
793;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
794;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F
795;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F
796;F;V;F;F;F;F;F;V;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
797;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
798;F;V;F;F;F;F;F;V;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
801;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F
802;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
804;F;F;F;F;F;F;F;V;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
805;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
806;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F
807;F;F;V;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F
809;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;V;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
810;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F
811;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;V;F;F
812;F;F;V;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
813;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
814;F;V;F;F;F;F;F;F;F;V;V;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F
